signature	aetiology_text	artifact	treatment_associated	source_url	retrieved_date
SBS8	Unknown.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs8/	2026-08-24
SBS9	May be due in part to mutations induced during replication by polymerase eta as part of somatic hypermutation in lymphoid cells. Chronic lymphocytic leukaemias that possess immunoglobulin gene hypermutation (IGHV-mutated) have elevated numbers of mutations attributed to SBS9 compared to those that do not have immunoglobulin gene hypermutation.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs9/	2026-08-24
SBS10a	Polymerase epsilon exonuclease domain mutations. SBS10a/SBS10b usually generate large numbers of somatic mutations (&gt;100 mutations per MB) and samples with these signatures have been termed hypermutators.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs10a/	2026-08-24
SBS10b	Polymerase epsilon exonuclease domain mutations. Signature SBS10a/SBS10b usually generate large numbers of somatic mutations (&gt;100 mutations per MB) and samples with these signatures have been termed hypermutators.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs10b/	2026-08-24
SBS10c	Defective POLD1 proofreading. Strong lagging replication strand bias. Enriched in non-coding genome (intergenic and intronic) regions.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs10c/	2026-08-24
SBS10d	Adenoma from individuals with germline POLD1 exonuclease domain mutations. Strong lagging replication strand bias. Enriched in non-coding genome (intergenic and intronic) regions.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs10d/	2026-08-24
SBS11	SBS11 exhibits a mutational pattern resembling that of alkylating agents. Patient histories indicate an association between previous treatment with the alkylating agent temozolomide and SBS11 mutations. SBS11 usually generates large numbers of somatic mutations (&gt;10 mutations per MB).	False	True	https://cancer.sanger.ac.uk/signatures/sbs/sbs11/	2026-08-24
SBS12	Unknown. SBS12 usually contributes a small percentage (&lt;20%) of the mutations observed in liver cancer samples.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs12/	2026-08-24
SBS13	Attributed to activity of the AID/APOBEC family of cytidine deaminases on the basis of similarities in the sequence context of cytosine mutations caused by APOBEC enzymes in experimental systems. APOBEC3A is probably responsible for most mutations in human cancer, although APOBEC3B may also contribute (these differ in the sequence context two bases 5’ to the mutated cytosine, see 1536 mutation classification signature extraction). SBS13 mutations are likely generated by error prone polymerases (such as REV1) replicating across abasic sites generated by base excision repair removal of uracil. SBS13 is usually found in the same samples as SBS2. It has been proposed that activation of AID/APOBEC cytidine deaminases in cancer may be due to previous viral infection, retrotransposon jumping, or tissue inflammation. Currently, there is limited evidence to support these hypotheses. Germline polymorphisms involving APOBEC3A and APOBEC3B are associated with predisposition to breast and bladder cancer as well as with mutation burdens of SBS2 and SBS13. Mutations of similar patterns to SBS2 and SBS13 are commonly found in the phenomenon of local hypermutation present in some cancers, known as kataegis, implicating AID/APOBEC enzymes in this process as well.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs13/	2026-08-24
SBS14	Concurrent polymerase epsilon mutation and defective DNA mismatch repair. SBS14 mutations are present in very high numbers in all samples in which it has been observed. SBS14 is one of seven mutational signatures associated with defective DNA mismatch repair and microsatellite instability (MSI) and is often found in the same samples as other MSI associated signatures: SBS6, SBS15, SBS20, SBS21, SBS26 and SBS44.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs14/	2026-08-24
SBS15	Defective DNA mismatch repair. SBS15 is one of seven mutational signatures associated with defective DNA mismatch repair and microsatellite instability (MSI) and is often found in the same samples as other MSI associated signatures: SBS6, SBS14, SBS20, SBS21, SBS26, and SBS44.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs15/	2026-08-24
SBS16	Unknown. In addition to lower levels of nucleotide excision repair on the untranscribed strands of genes, elevated levels of DNA damage on untranscribed strands (compared to the remainder of the genome) may contribute to SBS16. Contamination by SBS16 may still be present in the current version of SBS5.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs16/	2026-08-24
SBS17a	Unknown.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs17a/	2026-08-24
SBS17b	In the vast majority of tumours the aetiology is unknown. However, in some cases, previous studies have associated SBS17b to fluorouracil (5FU) chemotherapy treatment and to damage inflicted by reactive oxygen species. SBS17b has similarities to SBS28 and these two signatures can be mistaken for one another.	False	True	https://cancer.sanger.ac.uk/signatures/sbs/sbs17b/	2026-08-24
SBS18	Possibly damage by reactive oxygen species. Similar in profile to SBS36 which is associated with defective base excision repair due to MUTYH mutations.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs18/	2026-08-24
SBS19	Unknown.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs19/	2026-08-24
SBS20	Concurrent POLD1 mutations and defective DNA mismatch repair. SBS20 is one of seven mutational signatures associated with defective DNA mismatch repair and microsatellite instability (MSI) and is often found in the same samples as other MSI associated signatures: SBS6, SBS14, SBS15, SBS21, SBS26, and SBS44.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs20/	2026-08-24
SBS21	DNA mismatch repair deficiency. SBS21 is one of seven mutational signatures associated with defective DNA mismatch repair and microsatellite instability (MSI) and is often found in the same samples as other MSI associated signatures: SBS6, SBS14, SBS15, SBS20, SBS26, and SBS44.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs21/	2026-08-24
SBS22a	Aristolochic acid exposure. Found in cancer samples with known exposures to aristolochic acid and the pattern of mutations exhibited by the signature is consistent with that observed in experimental systems of aristolochic acid exposure.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs22a/	2026-08-24
SBS22b	Aristolochic acid exposure. Found in many cancer samples that also have SBS22a, DBS20, and ID23.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs22b/	2026-08-24
SBS22c	Aristolochic acid exposure.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs22c/	2026-08-24
SBS23	Unknown.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs23/	2026-08-24
SBS24	Aflatoxin exposure. SBS24 has been found in cancer samples with known exposures to aflatoxin and the pattern of mutations exhibited by the signature is consistent with that observed in experimental systems exposed to aflatoxin.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs24/	2026-08-24
SBS25	Unknown. However, some Hodgkin’s cell line samples in which the signature has been found were from patients exposed to chemotherapy and it is possible that SBS25 is due to chemotherapy treatment. This signature has only been identified in Hodgkin’s cell lines. Data is not available from primary Hodgkin lymphomas.	False	True	https://cancer.sanger.ac.uk/signatures/sbs/sbs25/	2026-08-24
SBS26	Defective DNA mismatch repair. SBS26 is one of seven mutational signatures associated with defective DNA mismatch repair and microsatellite instability (MSI) and is often found in the same samples as other MSI associated signatures: SBS6, SBS14, SBS15, SBS20, SBS21, and SBS44.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs26/	2026-08-24
SBS27	Possible sequencing artefact.	True	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs27/	2026-08-24
SBS28	Unknown. SBS28 has similarities to SBS17b and these two signatures can be mistaken for one another. Signature SBS28 is found in most samples with SBS10a/SBS10b where it contributes very high numbers of mutations. In contrast, SBS28 contributes much smaller number of mutations in samples lacking SBS10a/SBS10b .	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs28/	2026-08-24
SBS29	SBS29 has been found in cancer samples from individuals with a tobacco chewing habit. The pattern of C&gt;A mutations in SBS29 appears different from the pattern of mutations due to tobacco smoking reflected by SBS4.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs29/	2026-08-24
SBS30	SBS30 is due to deficiency in base excision repair due to inactivating mutations in NTHL1.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs30/	2026-08-24
SBS31	Prior chemotherapy treatment with platinum drugs. SBS31 exhibits a pattern of mutations similar to components of SBS35 and both may be due to platinum drug treatment.	False	True	https://cancer.sanger.ac.uk/signatures/sbs/sbs31/	2026-08-24
SBS32	Prior treatment with azathioprine to induce immunosuppression.	False	True	https://cancer.sanger.ac.uk/signatures/sbs/sbs32/	2026-08-24
SBS33	Unknown.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs33/	2026-08-24
SBS34	Unknown.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs34/	2026-08-24
SBS35	Prior chemotherapy treatment with platinum drugs. SBS35 exhibits a pattern of mutations that encompasses SBS31 and both may be due to platinum drug treatment.	False	True	https://cancer.sanger.ac.uk/signatures/sbs/sbs35/	2026-08-24
SBS36	Defective base excision repair, including DNA damage due to reactive oxygen species, due to biallelic germline or somatic MUTYH mutations. Similar to SBS18, which has been proposed to be due to reactive oxygen species induced DNA damage.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs36/	2026-08-24
SBS37	Unknown.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs37/	2026-08-24
SBS38	Unknown. Found only in ultraviolet light associated melanomas suggesting potential indirect damage from UV-light.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs38/	2026-08-24
SBS39	Unknown.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs39/	2026-08-24
SBS40a	Unknown.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs40a/	2026-08-24
SBS40b	Unknown. SBS40b activity is strongly associated with the age standardised incidence rate (ASR) of clear cell renal cell carcinoma. SBS40b activity also correlates with markers of reduced kidney function.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs40b/	2026-08-24
SBS40c	Unknown.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs40c/	2026-08-24
SBS41	Unknown.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs41/	2026-08-24
SBS42	Occupational exposure to haloalkanes.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs42/	2026-08-24
SBS43	Unknown. Possible sequencing artefact.	True	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs43/	2026-08-24
SBS44	Defective DNA mismatch repair. SBS44 is one of seven mutational signatures associated with defective DNA mismatch repair and microsatellite instability (MSI) and is often found in the same samples as other MSI associated signatures: SBS6, SBS14, SBS15, SBS20, SBS21, and SBS26.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs44/	2026-08-24
SBS45	Possible artefact due to 8-oxo-guanine introduced during sequencing.	True	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs45/	2026-08-24
SBS46	Possible sequencing artefact. Signature SBS46 was found commonly in colorectal cancers from early releases of TCGA (data released prior 2013).	True	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs46/	2026-08-24
SBS47	Possible sequencing artefact. SBS47 was found in cancer samples that were subsequently blacklisted for poor quality of sequencing data.	True	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs47/	2026-08-24
SBS48	Possible sequencing artefact. SBS48 was found in cancer samples that were subsequently blacklisted for poor quality of sequencing data.	True	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs48/	2026-08-24
SBS49	Possible sequencing artefact.	True	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs49/	2026-08-24
SBS50	Possible sequencing artefact. SBS50 was found in cancer samples that were subsequently blacklisted for poor quality of sequencing data.	True	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs50/	2026-08-24
SBS51	Possible sequencing artefact.	True	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs51/	2026-08-24
SBS52	Possible sequencing artefact.	True	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs52/	2026-08-24
SBS53	Possible sequencing artefact. Signature SBS53 was found in cancer samples that were subsequently blacklisted for poor quality of sequencing data.	True	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs53/	2026-08-24
SBS54	Possible sequencing artefact. Possible contamination with germline variants.	True	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs54/	2026-08-24
SBS55	Possible sequencing artefact.	True	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs55/	2026-08-24
SBS56	Possible sequencing artefact.	True	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs56/	2026-08-24
SBS57	Possible sequencing artefact.	True	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs57/	2026-08-24
SBS58	Potential sequencing artefact.	True	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs58/	2026-08-24
SBS59	Possible sequencing artefact.	True	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs59/	2026-08-24
SBS60	Possible sequencing artefact.	True	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs60/	2026-08-24
SBS84	Activity of activation-induced cytidine deaminase (AID). SBS84 is found in clustered mutations in the immunoglobulin gene and other regions in lymphoid cancers.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs84/	2026-08-24
SBS85	Indirect effects of activation-induced cytidine deaminase (AID) induced somatic mutagenesis in lymphoid cells. SBS85 is found in clustered mutations in the immunoglobulin gene and other regions in lymphoid cancers.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs85/	2026-08-24
SBS86	Unknown chemotherapy treatment. Mainly characterized by most C&gt;G trinucleotide contexts except those flanked 3&#x27; by G. Enriched in hyperdiploid acute lymphoblastic leukaemia (ALL) cases.	False	True	https://cancer.sanger.ac.uk/signatures/sbs/sbs86/	2026-08-24
SBS87	Thiopurine chemotherapy treatment, experimentally validated.	False	True	https://cancer.sanger.ac.uk/signatures/sbs/sbs87/	2026-08-24
SBS88	Exposure to E.coli bacteria carrying pks pathogenicity island, producing genotoxic compound colibactin. SBS88 appears to be most active in the first decade of life. Strong preference for adenines at positions -3 and -4 (i.e. 5&#x27; of the mutation).	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs88/	2026-08-24
SBS89	Unknown. SBS89 appears to be most active in the first decade of life.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs89/	2026-08-24
SBS90	Duocarmycin exposure. Very strong sequence context enrichment, with a preference for thymines up to 4bp 3’ of mutated thymines.	False	True	https://cancer.sanger.ac.uk/signatures/sbs/sbs90/	2026-08-24
SBS91	Unknown. Distinctive extended sequence context. Enrichment in ALU elements.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs91/	2026-08-24
SBS92	Associated with tobacco smoking. SBS92 activity was found increased in bladder tumours, as well as in normal urothelium of tobacco ever smokers compared to never smokers.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs92/	2026-08-24
SBS93	Unknown.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs93/	2026-08-24
SBS94	Unknown.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs94/	2026-08-24
SBS95	Possible sequencing artefact.	True	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs95/	2026-08-24
SBS96	Unknown. Originally found in Degasperi et al 2022 as SBS141.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs96/	2026-08-24
SBS97	Unknown. Found in Degasperi et al. 2022 as SBS129. This signature is dominated by C&gt;T mutations and shows similarity to SBS7b. It is found to be a feature of skin and connective tissue cancers.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs97/	2026-08-24
SBS98	Unknown. Found in Degasperi et al. 2022 as SBS105. This signature is similar to SBS87 in ALL, which has been previously linked to thiopurine treatment but with C&gt;T dominance.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs98/	2026-08-24
SBS99	Exposure to melphalan treatment. Associations were found with patient samples that had prior exposure to melphalan and experimental validation was conducted on human cell lines with melphalan exposure. Otherwise known as SBS-MM1 from Rustad et al. 2020 This signature was also detected in post-melphalan relapsed lymphomas (link to publication), and is associated with other post-melphalan therapy related myeloid and lymphoid signatures (link to publication). This signature was also found in a therapy-related bladder cancer in a patient previously exposed to melphalan for multiple myeloma (link to publication)	False	True	https://cancer.sanger.ac.uk/signatures/sbs/sbs99/	2026-08-24
SBS100	Found to be associated with Tobacco smoking	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs100/	2026-08-24
SBS101	Unknown.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs101/	2026-08-24
SBS102	Unknown.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs102/	2026-08-24
SBS103	Unknown.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs103/	2026-08-24
SBS104	Unknown.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs104/	2026-08-24
SBS105	Unknown.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs105/	2026-08-24
SBS106	Unknown. Found in Degasperi et al. 2022 as SBS107.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs106/	2026-08-24
SBS107	Unknown.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs107/	2026-08-24
SBS108	Unknown.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs108/	2026-08-24
SBS109	Found to be associated with tobacco smoking.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs109/	2026-08-24
SBS110	Unknown.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs110/	2026-08-24
SBS111	Unknown. Suspected relationship with POLD1 infidelity.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs111/	2026-08-24
SBS112	Unknown Denoted as SBSC in original identification study, Lee-Six et al. 2019 Nature.	False	False	https://cancer.sanger.ac.uk/signatures/sbs/sbs112/	2026-08-24
SBS113	Ganciclovir exposure	False	True	https://cancer.sanger.ac.uk/signatures/sbs/sbs113/	2026-08-24
